lon,lat,name,code,WIND_SPEED,SOLAR_IRRAD
-35.6,-7.6,Aroeiras,2501302,3.33817119863285,5.180296045851415
-35.55,-7.6,Natuba,2509909,3.008496896227623,5.266829987554398
-35.5,-7.6,Natuba,2509909,2.957805777636715,5.2697557321845645
-38.65,-7.55,Conceição,2504405,2.1689274854885165,5.720789122925674
-38.6,-7.55,Conceição,2504405,2.1835947576604506,5.729862922508081
-38.55,-7.55,Conceição,2504405,2.2402708749736324,5.789071095434083
-38.5,-7.55,Conceição,2504405,2.2441307159757455,5.799937917240207
-38.45,-7.55,Conceição,2504405,2.2476569316168535,5.810621697420788
-38.4,-7.55,Ibiara,2506608,2.2506422505588604,5.820986372419314
-38.35,-7.55,Santana de Mangueira,2513505,2.2528772397744103,5.830856501491779
-38.3,-7.55,Santana de Mangueira,2513505,2.254177922603884,5.839994198094245
-38.25,-7.55,Diamante,2505600,2.2544117667824297,5.848083513494815
-38.2,-7.55,Curral Velho,2505303,2.2535163050075067,5.854748603251481
-38.15,-7.55,Curral Velho,2505303,2.2973460274234325,5.978815467297071
